Dim,Type,Time
50,naive,0.000347498
50,naive,0.000281198
50,naive,0.000385697
100,naive,0.003014278
100,naive,0.002814281
100,naive,0.002811081
150,naive,0.011815017
150,naive,0.011069222
150,naive,0.010577225
200,naive,0.031990374
200,naive,0.02971509
200,naive,0.026530213
250,naive,0.050556743
250,naive,0.050542144
250,naive,0.049640849
300,naive,0.088422976
300,naive,0.086989186
300,naive,0.085789094
350,naive,0.138072225
350,naive,0.142429095
350,naive,0.143666286
400,naive,0.209051224
400,naive,0.206535843
400,naive,0.213595693
450,naive,0.303147861
450,naive,0.30320486
450,naive,0.304443751
500,naive,0.417470254
500,naive,0.418999643
500,naive,0.45636008
550,naive,0.569262083
550,naive,0.560538744
550,naive,0.590374833
600,naive,0.737668194
600,naive,0.772852246
600,naive,0.778736804
650,naive,0.987843128
650,naive,0.981262775
650,naive,0.963985697
700,naive,1.241841336
700,naive,1.21005616
700,naive,1.199202237
750,naive,1.469999126
750,naive,1.383756334
750,naive,1.428900715
800,naive,1.6861383
800,naive,1.724481729
800,naive,1.697319521
850,naive,2.045409364
850,naive,2.056451286
850,naive,2.076984042
900,naive,2.350803309
900,naive,2.354299284
900,naive,2.378092016
950,naive,2.884234544
950,naive,2.909041668
950,naive,2.88627023
1000,naive,3.338659737
1000,naive,3.281061343
1000,naive,3.267078841
50,better,0.000191899
50,better,0.000225098
50,better,0.000226299
100,better,0.001784988
100,better,0.001460289
100,better,0.00154299
150,better,0.004814066
150,better,0.005009865
150,better,0.004893865
200,better,0.011785717
200,better,0.011370919
200,better,0.011542119
250,better,0.022948238
250,better,0.022246243
250,better,0.025817118
300,better,0.039000625
300,better,0.040237416
300,better,0.039395322
350,better,0.066196932
350,better,0.066440331
350,better,0.066568931
400,better,0.095161528
400,better,0.098992701
400,better,0.094608933
450,better,0.135812841
450,better,0.134290453
450,better,0.141475801
500,better,0.189647961
500,better,0.182070215
500,better,0.17710625
550,better,0.244920172
550,better,0.247633252
550,better,0.239899007
600,better,0.305929241
600,better,0.328868579
600,better,0.323667116
650,better,0.394004719
650,better,0.406335432
650,better,0.413438482
700,better,0.491025535
700,better,0.506422725
700,better,0.498270083
750,better,0.632173639
750,better,0.636414809
750,better,0.64038918
800,better,0.779535198
800,better,0.768256477
800,better,0.751858294
850,better,0.903757321
850,better,0.94513153
850,better,0.924955571
900,better,1.086219634
900,better,1.092089092
900,better,1.114731532
950,better,1.284229236
950,better,1.289480498
950,better,1.292575577
1000,better,1.526349627
1000,better,1.461771883
1000,better,1.540784625
50,BLAS,0.000508896
50,BLAS,2.15e-5
50,BLAS,2.01e-5
100,BLAS,0.000761795
100,BLAS,5.26e-5
100,BLAS,7.3199e-5
150,BLAS,0.000698895
150,BLAS,0.000103899
150,BLAS,9.74e-5
200,BLAS,0.000171299
200,BLAS,0.000152799
200,BLAS,0.000154098
250,BLAS,0.000334397
250,BLAS,0.000241499
250,BLAS,0.000247498
300,BLAS,0.000553196
300,BLAS,0.000545396
300,BLAS,0.000532096
350,BLAS,0.000833594
350,BLAS,0.000770394
350,BLAS,0.000780695
400,BLAS,0.001001693
400,BLAS,0.000975293
400,BLAS,0.000940994
450,BLAS,0.001451789
450,BLAS,0.002060786
450,BLAS,0.002152385
500,BLAS,0.003521775
500,BLAS,0.003126678
500,BLAS,0.003063979
550,BLAS,0.003734374
550,BLAS,0.084479004
550,BLAS,0.002644281
600,BLAS,0.003258177
600,BLAS,0.003218178
600,BLAS,0.003450375
650,BLAS,0.081027228
650,BLAS,0.003707374
650,BLAS,0.003515075
700,BLAS,0.006294156
700,BLAS,0.006919751
700,BLAS,0.082305119
750,BLAS,0.006215756
750,BLAS,0.005993957
750,BLAS,0.080508832
800,BLAS,0.006725253
800,BLAS,0.006490754
800,BLAS,0.084338705
850,BLAS,0.007955944
850,BLAS,0.08920377
850,BLAS,0.009554933
900,BLAS,0.00990433
900,BLAS,0.085881694
900,BLAS,0.00996643
950,BLAS,0.087005986
950,BLAS,0.012208614
950,BLAS,0.087772781
1000,BLAS,0.089909566
1000,BLAS,0.092135249
1000,BLAS,0.013346806
