Type;Dim;Time
Blas;100;9.127000
Blas;100;1.147000
Blas;100;1.137000
Blas;100;4.308000
Blas;100;7.205000
Blas;100;1.184000
Blas;100;2.038000
Blas;100;1.476000
Blas;100;5.211000
Blas;100;1.221000
Blas;120;7.491000
Blas;120;2.089000
Blas;120;1.619000
Blas;120;1.607000
Blas;120;8.831000
Blas;120;1.720000
Blas;120;4.550000
Blas;120;1.631000
Blas;120;5.642000
Blas;120;1.583000
Blas;140;7.725000
Blas;140;3.352000
Blas;140;2.385000
Blas;140;2.316000
Blas;140;9.941000
Blas;140;2.272000
Blas;140;6.447000
Blas;140;5.026000
Blas;140;2.515000
Blas;140;2.486000
Blas;160;3.771000
Blas;160;10.793000
Blas;160;3.532000
Blas;160;8.003000
Blas;160;7.613000
Blas;160;9.008000
Blas;160;8.183000
Blas;160;8.032000
Blas;160;9.243000
Blas;160;9.759000
Blas;180;9.322000
Blas;180;12.219000
Blas;180;5.209000
Blas;180;10.202000
Blas;180;13.455000
Blas;180;11.614000
Blas;180;15.407000
Blas;180;15.062000
Blas;180;12.388000
Blas;180;11.878000
Blas;200;18.624000
Blas;200;13.955000
Blas;200;21.388000
Blas;200;17.792000
Blas;200;17.399000
Blas;200;15.859000
Blas;200;14.723000
Blas;200;15.901000
Blas;200;11.476000
Blas;200;14.060000
Blas;220;10.328000
Blas;220;11.384000
Blas;220;10.148000
Blas;220;10.093000
Blas;220;11.110000
Blas;220;9.974000
Blas;220;10.945000
Blas;220;11.205000
Blas;220;10.903000
Blas;220;11.661000
Blas;240;12.721000
Blas;240;15.148000
Blas;240;13.740000
Blas;240;17.679000
Blas;240;14.923000
Blas;240;14.141000
Blas;240;31.057000
Blas;240;28.881000
Blas;240;27.276000
Blas;240;30.774000
Blas;260;32.095000
Blas;260;41.892000
Blas;260;45.220000
Blas;260;39.970000
Blas;260;40.334000
Blas;260;33.458000
Blas;260;40.280000
Blas;260;36.066000
Blas;260;36.442000
Blas;260;43.314000
Blas;280;49.941000
Blas;280;49.656000
Blas;280;54.564000
Blas;280;79.859000
Blas;280;49.229000
Blas;280;46.369000
Blas;280;45.822000
Blas;280;51.168000
Blas;280;47.880000
Blas;280;51.317000
Blas;300;65.025000
Blas;300;56.110000
Blas;300;63.134000
Blas;300;54.158000
Blas;300;62.932000
Blas;300;70.863000
Blas;300;58.386000
Blas;300;58.531000
Blas;300;53.908000
Blas;300;57.695000
Blas;320;69.287000
Blas;320;87.079000
Blas;320;74.052000
Blas;320;72.734000
Blas;320;67.638000
Blas;320;65.408000
Blas;320;70.265000
Blas;320;62.784000
Blas;320;76.844000
Blas;320;52.285000
Blas;340;40.981000
Blas;340;75.652000
Blas;340;85.284000
Blas;340;77.972000
Blas;340;80.868000
Blas;340;79.431000
Blas;340;71.933000
Blas;340;54.713000
Blas;340;53.931000
Blas;340;42.714000
Blas;360;86.259000
Blas;360;60.116000
Blas;360;45.944000
Blas;360;50.326000
Blas;360;45.699000
Blas;360;46.063000
Blas;360;47.558000
Blas;360;46.738000
Blas;360;49.690000
Blas;360;48.598000
Blas;380;92.033000
Blas;380;60.305000
Blas;380;65.622000
Blas;380;61.633000
Blas;380;79.473000
Blas;380;90.245000
Blas;380;98.857000
Blas;380;77.500000
Blas;380;72.841000
Blas;380;70.235000
Blas;400;89.714000
Blas;400;85.994000
Blas;400;102.249000
Blas;400;65.024000
Blas;400;71.011000
Blas;400;65.317000
Blas;400;64.039000
Blas;400;67.956000
Blas;400;141.420000
Blas;400;76.796000
Blas;420;76.214000
Blas;420;84.148000
Blas;420;78.990000
Blas;420;77.375000
Blas;420;108.324000
Blas;420;84.968000
Blas;420;79.617000
Blas;420;79.401000
Blas;420;83.051000
Blas;420;76.835000
Blas;440;159.515000
Blas;440;86.207000
Blas;440;103.716000
Blas;440;85.648000
Blas;440;91.305000
Blas;440;174.540000
Blas;440;92.008000
Blas;440;88.920000
Blas;440;93.926000
Blas;440;133.982000
Blas;460;130.518000
Blas;460;136.010000
Blas;460;109.376000
Blas;460;153.721000
Blas;460;97.692000
Blas;460;127.252000
Blas;460;106.514000
Blas;460;136.657000
Blas;460;143.548000
Blas;460;109.156000
Blas;480;118.203000
Blas;480;157.487000
Blas;480;123.741000
Blas;480;123.434000
Blas;480;131.446000
Blas;480;145.635000
Blas;480;167.179000
Blas;480;124.784000
Blas;480;157.853000
Blas;480;117.313000
Blas;500;147.888000
Blas;500;185.743000
Blas;500;143.115000
Blas;500;272.937000
Blas;500;410.911000
Blas;500;386.873000
Blas;500;402.788000
Blas;500;298.221000
Blas;500;189.002000
Blas;500;147.571000
Blas;520;331.913000
Blas;520;431.824000
Blas;520;296.735000
Blas;520;314.709000
Blas;520;204.289000
Blas;520;560.602000
Blas;520;693.204000
Blas;520;450.442000
Blas;520;314.086000
Blas;520;201.294000
Blas;540;233.776000
Blas;540;246.348000
Blas;540;261.774000
Blas;540;300.787000
Blas;540;358.426000
Blas;540;219.804000
Blas;540;301.212000
Blas;540;194.970000
Blas;540;218.328000
Blas;540;276.861000
Blas;560;359.008000
Blas;560;407.227000
Blas;560;258.899000
Blas;560;374.454000
Blas;560;269.332000
Blas;560;260.181000
Blas;560;250.417000
Blas;560;275.282000
Blas;560;282.536000
Blas;560;330.424000
Blas;580;431.588000
Blas;580;385.679000
Blas;580;324.838000
Blas;580;381.744000
Blas;580;450.101000
Blas;580;418.078000
Blas;580;384.804000
Blas;580;354.209000
Blas;580;373.241000
Blas;580;519.958000
Blas;600;518.093000
Blas;600;403.366000
Blas;600;423.803000
Blas;600;391.502000
Blas;600;420.161000
Blas;600;588.584000
Blas;600;532.540000
Blas;600;494.572000
Blas;600;384.086000
Blas;600;415.387000
Blas;620;425.750000
Blas;620;588.336000
Blas;620;367.674000
Blas;620;369.340000
Blas;620;384.473000
Blas;620;345.779000
Blas;620;368.150000
Blas;620;409.193000
Blas;620;423.848000
Blas;620;510.191000
Blas;640;384.806000
Blas;640;386.019000
Blas;640;435.948000
Blas;640;386.629000
Blas;640;435.767000
Blas;640;464.417000
Blas;640;388.061000
Blas;640;406.525000
Blas;640;384.096000
Blas;640;434.736000
Blas;660;485.121000
Blas;660;487.170000
Blas;660;600.970000
Blas;660;588.387000
Blas;660;591.746000
Blas;660;517.159000
Blas;660;508.192000
Blas;660;557.187000
Blas;660;506.378000
Blas;660;529.660000
Blas;680;654.168000
Blas;680;647.115000
Blas;680;584.308000
Blas;680;547.856000
Blas;680;487.273000
Blas;680;587.118000
Blas;680;629.517000
Blas;680;583.022000
Blas;680;543.390000
Blas;680;573.474000
Blas;700;547.581000
Blas;700;560.766000
Blas;700;575.466000
Blas;700;551.528000
Blas;700;522.323000
Blas;700;577.884000
Blas;700;569.297000
Blas;700;562.608000
Blas;700;587.120000
Blas;700;590.542000
Blas;720;602.156000
Blas;720;892.121000
Blas;720;772.039000
Blas;720;733.009000
Blas;720;585.632000
Blas;720;619.574000
Blas;720;574.162000
Blas;720;602.275000
Blas;720;628.541000
Blas;720;603.484000
Blas;740;679.970000
Blas;740;680.367000
Blas;740;845.338000
Blas;740;653.006000
Blas;740;803.953000
Blas;740;722.936000
Blas;740;668.068000
Blas;740;641.596000
Blas;740;645.534000
Blas;740;777.349000
Blas;760;693.577000
Blas;760;711.015000
Blas;760;775.325000
Blas;760;687.166000
Blas;760;816.887000
Blas;760;838.586000
Blas;760;907.622000
Blas;760;838.535000
Blas;760;964.155000
Blas;760;873.542000
Blas;780;853.266000
Blas;780;749.956000
Blas;780;811.517000
Blas;780;933.625000
Blas;780;890.188000
Blas;780;836.210000
Blas;780;879.099000
Blas;780;985.944000
Blas;780;809.354000
Blas;780;792.675000
Blas;800;858.781000
Blas;800;820.741000
Blas;800;808.060000
Blas;800;826.940000
Blas;800;826.685000
Blas;800;872.011000
Blas;800;827.677000
Blas;800;830.179000
Blas;800;930.899000
Blas;800;987.179000
Better;100;7.321000
Better;100;6.712000
Better;100;6.823000
Better;100;6.793000
Better;100;6.885000
Better;100;7.237000
Better;100;6.474000
Better;100;6.659000
Better;100;11.942000
Better;100;8.807000
Better;120;16.597000
Better;120;11.137000
Better;120;13.197000
Better;120;12.473000
Better;120;12.763000
Better;120;11.944000
Better;120;11.946000
Better;120;11.532000
Better;120;11.511000
Better;120;11.534000
Better;140;24.248000
Better;140;19.318000
Better;140;19.722000
Better;140;20.263000
Better;140;19.358000
Better;140;19.237000
Better;140;62.230000
Better;140;20.613000
Better;140;20.252000
Better;140;20.495000
Better;160;32.723000
Better;160;55.661000
Better;160;63.520000
Better;160;55.641000
Better;160;45.893000
Better;160;34.394000
Better;160;31.760000
Better;160;38.527000
Better;160;57.113000
Better;160;70.908000
Better;180;81.467000
Better;180;87.787000
Better;180;97.515000
Better;180;86.973000
Better;180;77.014000
Better;180;77.154000
Better;180;83.585000
Better;180;79.392000
Better;180;89.585000
Better;180;79.313000
Better;200;113.855000
Better;200;148.318000
Better;200;120.262000
Better;200;129.768000
Better;200;106.304000
Better;200;54.034000
Better;200;52.570000
Better;200;56.553000
Better;200;98.351000
Better;200;113.340000
Better;220;153.666000
Better;220;190.759000
Better;220;155.133000
Better;220;146.068000
Better;220;147.927000
Better;220;156.253000
Better;220;149.222000
Better;220;159.338000
Better;220;205.352000
Better;220;154.792000
Better;240;195.466000
Better;240;200.576000
Better;240;116.140000
Better;240;106.773000
Better;240;247.024000
Better;240;93.442000
Better;240;89.300000
Better;240;128.970000
Better;240;196.210000
Better;240;194.534000
Better;260;284.549000
Better;260;338.208000
Better;260;325.711000
Better;260;257.508000
Better;260;272.153000
Better;260;240.941000
Better;260;189.938000
Better;260;165.319000
Better;260;139.806000
Better;260;174.309000
Better;280;326.018000
Better;280;313.601000
Better;280;311.924000
Better;280;339.997000
Better;280;326.634000
Better;280;340.355000
Better;280;327.462000
Better;280;313.381000
Better;280;309.592000
Better;280;334.668000
Better;300;390.387000
Better;300;366.410000
Better;300;180.221000
Better;300;258.050000
Better;300;242.427000
Better;300;399.632000
Better;300;407.546000
Better;300;387.456000
Better;300;495.324000
Better;300;396.351000
Better;320;297.736000
Better;320;268.807000
Better;320;273.729000
Better;320;301.237000
Better;320;243.140000
Better;320;304.074000
Better;320;307.906000
Better;320;372.650000
Better;320;288.383000
Better;320;288.646000
Better;340;375.724000
Better;340;436.354000
Better;340;375.043000
Better;340;365.590000
Better;340;337.658000
Better;340;446.446000
Better;340;366.133000
Better;340;265.564000
Better;340;371.656000
Better;340;326.676000
Better;360;321.832000
Better;360;414.078000
Better;360;371.153000
Better;360;396.445000
Better;360;337.539000
Better;360;378.301000
Better;360;403.904000
Better;360;394.166000
Better;360;314.951000
Better;360;402.979000
Better;380;429.376000
Better;380;442.392000
Better;380;509.065000
Better;380;443.044000
Better;380;551.400000
Better;380;507.820000
Better;380;485.854000
Better;380;445.069000
Better;380;619.003000
Better;380;637.238000
Better;400;811.586000
Better;400;897.320000
Better;400;741.154000
Better;400;806.074000
Better;400;738.285000
Better;400;832.951000
Better;400;786.407000
Better;400;778.484000
Better;400;840.176000
Better;400;883.458000
Better;420;930.501000
Better;420;917.415000
Better;420;877.275000
Better;420;920.595000
Better;420;911.096000
Better;420;702.121000
Better;420;599.100000
Better;420;646.648000
Better;420;606.474000
Better;420;641.683000
Better;440;760.446000
Better;440;1030.128000
Better;440;681.706000
Better;440;943.191000
Better;440;726.343000
Better;440;782.626000
Better;440;673.951000
Better;440;814.486000
Better;440;760.989000
Better;440;880.077000
Better;460;921.512000
Better;460;997.551000
Better;460;1111.917000
Better;460;984.931000
Better;460;881.350000
Better;460;1427.057000
Better;460;918.830000
Better;460;807.753000
Better;460;1018.038000
Better;460;978.038000
Better;480;1360.847000
Better;480;1029.411000
Better;480;1051.960000
Better;480;1179.811000
Better;480;1177.105000
Better;480;1369.315000
Better;480;1304.702000
Better;480;1330.558000
Better;480;1106.030000
Better;480;1083.808000
Better;500;1177.658000
Better;500;1096.619000
Better;500;1199.172000
Better;500;1123.138000
Better;500;1323.747000
Better;500;1136.317000
Better;500;1076.384000
Better;500;1134.477000
Better;500;1103.807000
Better;500;1091.688000
Better;520;1249.361000
Better;520;1241.056000
Better;520;1388.226000
Better;520;1506.778000
Better;520;1332.519000
Better;520;1365.615000
Better;520;1220.692000
Better;520;1224.030000
Better;520;1328.097000
Better;520;1352.962000
Better;540;1398.780000
Better;540;1585.383000
Better;540;1319.032000
Better;540;1389.716000
Better;540;1388.889000
Better;540;1507.634000
Better;540;1540.478000
Better;540;1639.868000
Better;540;1703.933000
Better;540;1265.135000
Better;560;1618.282000
Better;560;1720.026000
Better;560;1541.948000
Better;560;1631.695000
Better;560;1484.240000
Better;560;1760.837000
Better;560;1451.935000
Better;560;1652.291000
Better;560;1561.674000
Better;560;1573.614000
Better;580;1942.021000
Better;580;2434.557000
Better;580;1513.318000
Better;580;1585.895000
Better;580;1588.154000
Better;580;1693.249000
Better;580;1710.093000
Better;580;1726.591000
Better;580;1526.426000
Better;580;1683.509000
Better;600;1917.188000
Better;600;1996.926000
Better;600;1933.759000
Better;600;2023.593000
Better;600;1919.284000
Better;600;1819.677000
Better;600;1767.815000
Better;600;1768.165000
Better;600;1870.921000
Better;600;1965.302000
Better;620;2005.037000
Better;620;1933.090000
Better;620;1860.971000
Better;620;1922.929000
Better;620;2090.765000
Better;620;2044.701000
Better;620;1907.522000
Better;620;1815.250000
Better;620;1910.084000
Better;620;1899.088000
Better;640;2218.274000
Better;640;2129.518000
Better;640;2144.160000
Better;640;2028.439000
Better;640;2070.415000
Better;640;2349.391000
Better;640;2016.680000
Better;640;2115.200000
Better;640;2074.556000
Better;640;2100.071000
Better;660;2476.556000
Better;660;2582.844000
Better;660;2306.383000
Better;660;2417.910000
Better;660;2587.404000
Better;660;2269.318000
Better;660;2288.327000
Better;660;2331.780000
Better;660;2378.632000
Better;660;2340.877000
Better;680;2500.842000
Better;680;2644.569000
Better;680;2740.746000
Better;680;2764.680000
Better;680;2687.619000
Better;680;2479.752000
Better;680;2482.727000
Better;680;3743.007000
Better;680;3947.729000
Better;680;4337.026000
Better;700;3427.929000
Better;700;4527.498000
Better;700;5300.069000
Better;700;2753.484000
Better;700;2925.195000
Better;700;2980.058000
Better;700;2864.710000
Better;700;4086.014000
Better;700;3422.576000
Better;700;3152.553000
Better;720;3304.297000
Better;720;3138.011000
Better;720;3402.095000
Better;720;3103.522000
Better;720;3162.193000
Better;720;3298.932000
Better;720;3068.916000
Better;720;3252.236000
Better;720;3616.407000
Better;720;3539.820000
Better;740;3571.662000
Better;740;3710.582000
Better;740;3604.822000
Better;740;3364.698000
Better;740;3563.921000
Better;740;3300.109000
Better;740;3400.896000
Better;740;3552.733000
Better;740;4428.710000
Better;740;4202.808000
Better;760;4133.963000
Better;760;3948.009000
Better;760;4091.795000
Better;760;4168.460000
Better;760;3958.758000
Better;760;4228.789000
Better;760;4059.772000
Better;760;3993.733000
Better;760;4113.616000
