Dim,Type,Time
500,v,0.007
500,m,0.528
500,v,0.002
500,m,0.461
500,v,0.001
500,m,0.453
500,v,0.001
500,m,0.438
500,v,0.001
500,m,0.453
500,v,0.001
500,m,0.504
500,v,0.001
500,m,0.468
500,v,0.001
500,m,0.466
500,v,0.001
500,m,0.469
500,v,0.001
500,m,8.531
550,v,0.003
550,m,0.677
550,v,0.002
550,m,0.669
550,v,0.002
550,m,0.645
550,v,0.002
550,m,0.621
550,v,0.002
550,m,4.531
550,v,0.002
550,m,0.403
550,v,0.001
550,m,0.393
550,v,0.001
550,m,0.391
550,v,0.001
550,m,0.355
550,v,0.001
550,m,0.413
600,v,0.003
600,m,0.506
600,v,0.001
600,m,0.491
600,v,0.001
600,m,0.470
600,v,0.001
600,m,0.466
600,v,0.001
600,m,4.517
600,v,0.002
600,m,0.509
600,v,0.001
600,m,0.470
600,v,0.001
600,m,0.466
600,v,0.001
600,m,0.477
600,v,0.001
600,m,0.467
650,v,0.003
650,m,0.648
650,v,0.001
650,m,0.610
650,v,0.002
650,m,0.603
650,v,0.002
650,m,0.588
650,v,0.002
650,m,0.589
650,v,0.001
650,m,0.586
650,v,0.001
650,m,4.721
650,v,0.002
650,m,0.601
650,v,0.001
650,m,0.546
650,v,0.001
650,m,0.545
700,v,0.002
700,m,0.773
700,v,0.002
700,m,0.639
700,v,0.001
700,m,0.644
700,v,0.001
700,m,0.643
700,v,0.028
700,m,0.664
700,v,0.001
700,m,4.854
700,v,0.004
700,m,0.873
700,v,0.002
700,m,0.746
700,v,0.001
700,m,0.691
700,v,0.001
700,m,0.718
750,v,0.002
750,m,0.857
750,v,0.002
750,m,5.015
750,v,0.002
750,m,0.782
750,v,0.002
750,m,0.773
750,v,0.001
750,m,0.729
750,v,0.001
750,m,0.789
750,v,0.002
750,m,4.791
750,v,0.002
750,m,0.770
750,v,0.002
750,m,0.791
750,v,0.002
750,m,0.762
800,v,0.003
800,m,5.095
800,v,0.002
800,m,0.995
800,v,0.012
800,m,0.875
800,v,0.002
800,m,0.889
800,v,0.002
800,m,0.903
800,v,0.002
800,m,2.440
800,v,0.002
800,m,0.879
800,v,0.002
800,m,1.088
800,v,0.003
800,m,0.916
800,v,0.002
800,m,0.914
850,v,0.002
850,m,1.101
850,v,0.002
850,m,1.133
850,v,0.005
850,m,1.004
850,v,0.002
850,m,1.000
850,v,0.002
850,m,1.211
850,v,0.002
850,m,1.013
850,v,0.002
850,m,0.973
850,v,0.002
850,m,1.008
850,v,0.002
850,m,1.011
850,v,0.002
850,m,0.989
900,v,0.003
900,m,1.319
900,v,0.002
900,m,1.179
900,v,0.002
900,m,1.222
900,v,0.003
900,m,1.179
900,v,0.003
900,m,1.276
900,v,0.002
900,m,1.202
900,v,0.002
900,m,1.173
900,v,0.003
900,m,1.163
900,v,0.003
900,m,1.164
900,v,0.002
900,m,1.427
950,v,0.003
950,m,1.386
950,v,0.002
950,m,1.232
950,v,0.001
950,m,1.187
950,v,0.002
950,m,1.335
950,v,0.002
950,m,1.251
950,v,0.002
950,m,1.305
950,v,0.002
950,m,1.302
950,v,0.002
950,m,1.249
950,v,0.002
950,m,1.245
950,v,0.002
950,m,1.245
1000,v,0.003
1000,m,1.553
1000,v,0.002
1000,m,1.436
1000,v,0.002
1000,m,2.955
1000,v,0.003
1000,m,1.355
1000,v,0.002
1000,m,1.339
1000,v,0.003
1000,m,1.400
1000,v,0.002
1000,m,1.365
1000,v,0.002
1000,m,1.368
1000,v,0.002
1000,m,1.309
1000,v,0.002
1000,m,1.390
1050,v,0.004
1050,m,1.767
1050,v,0.002
1050,m,1.505
1050,v,0.002
1050,m,1.428
1050,v,0.002
1050,m,1.467
1050,v,0.002
1050,m,1.520
1050,v,0.002
1050,m,1.469
1050,v,0.002
1050,m,1.708
1050,v,0.003
1050,m,1.605
1050,v,0.002
1050,m,1.576
1050,v,0.002
1050,m,1.702
1100,v,0.004
1100,m,2.086
1100,v,0.003
1100,m,1.731
1100,v,0.003
1100,m,1.758
1100,v,0.003
1100,m,1.733
1100,v,0.002
1100,m,1.734
1100,v,0.003
1100,m,1.763
1100,v,0.003
1100,m,1.733
1100,v,0.003
1100,m,1.927
1100,v,0.003
1100,m,1.732
1100,v,0.002
1100,m,1.747
1150,v,0.003
1150,m,2.183
1150,v,0.004
1150,m,1.935
1150,v,0.002
1150,m,1.852
1150,v,0.002
1150,m,1.775
1150,v,0.002
1150,m,1.902
1150,v,0.002
1150,m,2.228
1150,v,0.003
1150,m,1.866
1150,v,0.002
1150,m,1.911
1150,v,0.003
1150,m,1.931
1150,v,0.003
1150,m,1.772
1200,v,0.004
1200,m,2.404
1200,v,0.002
1200,m,1.931
1200,v,0.002
1200,m,1.961
1200,v,0.003
1200,m,1.939
1200,v,0.002
1200,m,1.888
1200,v,0.003
1200,m,1.959
1200,v,0.002
1200,m,1.921
1200,v,0.002
1200,m,5.616
1200,v,0.003
1200,m,2.114
1200,v,0.002
1200,m,2.094
1250,v,0.003
1250,m,2.608
1250,v,0.003
1250,m,2.133
1250,v,0.002
1250,m,2.083
1250,v,0.003
1250,m,2.181
1250,v,0.003
1250,m,2.062
1250,v,0.002
1250,m,2.291
1250,v,0.003
1250,m,2.019
1250,v,0.003
1250,m,1.981
1250,v,0.002
1250,m,2.077
1250,v,0.003
1250,m,2.080
1300,v,0.004
1300,m,2.898
1300,v,0.002
1300,m,2.255
1300,v,0.002
1300,m,2.251
1300,v,0.003
1300,m,2.248
1300,v,0.002
1300,m,2.258
1300,v,0.002
1300,m,2.271
1300,v,0.002
1300,m,2.232
1300,v,0.003
1300,m,2.290
1300,v,0.002
1300,m,2.279
1300,v,0.004
1300,m,2.397
1350,v,0.004
1350,m,3.442
1350,v,0.003
1350,m,2.623
1350,v,0.002
1350,m,2.607
1350,v,0.004
1350,m,2.651
1350,v,0.003
1350,m,2.608
1350,v,0.002
1350,m,2.606
1350,v,0.003
1350,m,2.401
1350,v,0.002
1350,m,2.429
1350,v,0.002
1350,m,2.304
1350,v,0.003
1350,m,2.475
1400,v,0.004
1400,m,3.634
1400,v,0.004
1400,m,2.806
1400,v,0.003
1400,m,2.761
1400,v,0.003
1400,m,2.812
1400,v,0.003
1400,m,2.824
1400,v,0.004
1400,m,2.791
1400,v,0.003
1400,m,2.762
1400,v,0.003
1400,m,2.823
1400,v,0.003
1400,m,2.829
1400,v,0.003
1400,m,7.235
1450,v,0.005
1450,m,4.851
1450,v,0.004
1450,m,4.117
1450,v,0.004
1450,m,3.518
1450,v,0.004
1450,m,3.414
1450,v,0.003
1450,m,3.312
1450,v,0.003
1450,m,3.300
1450,v,0.003
1450,m,4.176
1450,v,0.005
1450,m,4.289
1450,v,0.003
1450,m,3.669
1450,v,0.003
1450,m,3.352
1500,v,0.005
1500,m,4.172
1500,v,0.003
1500,m,3.262
1500,v,0.003
1500,m,3.250
1500,v,0.003
1500,m,3.272
1500,v,0.005
1500,m,3.193
1500,v,0.005
1500,m,3.474
1500,v,0.004
1500,m,3.257
1500,v,0.004
1500,m,3.249
1500,v,0.004
1500,m,3.191
1500,v,0.004
1500,m,3.204
1550,v,0.005
1550,m,12.822
1550,v,0.003
1550,m,3.236
1550,v,0.003
1550,m,7.390
1550,v,0.004
1550,m,3.234
1550,v,0.003
1550,m,4.262
1550,v,0.003
1550,m,3.855
1550,v,0.004
1550,m,3.474
1550,v,0.004
1550,m,4.284
1550,v,0.004
1550,m,3.459
1550,v,0.003
1550,m,4.314
1600,v,0.004
1600,m,9.411
1600,v,0.003
1600,m,6.920
1600,v,0.003
1600,m,3.488
1600,v,0.003
1600,m,6.465
1600,v,0.004
1600,m,9.549
1600,v,0.003
1600,m,7.500
1600,v,0.003
1600,m,3.620
1600,v,0.003
1600,m,7.779
1600,v,0.004
1600,m,7.623
1600,v,0.003
1600,m,7.620
1650,v,0.005
1650,m,9.918
1650,v,0.004
1650,m,8.769
1650,v,0.004
1650,m,6.309
1650,v,0.003
1650,m,5.913
1650,v,0.003
1650,m,8.996
1650,v,0.004
1650,m,3.760
1650,v,0.003
1650,m,11.619
1650,v,0.003
1650,m,9.886
1650,v,0.003
1650,m,3.929
1650,v,0.003
1650,m,12.093
1700,v,0.004
1700,m,6.101
1700,v,0.004
1700,m,3.995
1700,v,0.003
1700,m,4.821
1700,v,0.003
1700,m,4.666
1700,v,0.005
1700,m,4.995
1700,v,0.003
1700,m,4.091
1700,v,0.003
1700,m,4.063
1700,v,0.003
1700,m,4.757
1700,v,0.004
1700,m,3.973
1700,v,0.004
1700,m,5.052
1750,v,0.005
1750,m,5.974
1750,v,0.004
1750,m,4.739
1750,v,0.004
1750,m,4.351
1750,v,0.004
1750,m,4.363
1750,v,0.004
1750,m,4.331
1750,v,0.003
1750,m,4.528
1750,v,0.004
1750,m,4.329
1750,v,0.003
1750,m,4.492
1750,v,0.003
1750,m,4.434
1750,v,0.004
1750,m,4.409
1800,v,0.005
1800,m,6.187
1800,v,0.003
1800,m,4.403
1800,v,0.005
1800,m,5.234
1800,v,0.005
1800,m,4.920
1800,v,0.004
1800,m,4.405
1800,v,0.004
1800,m,4.433
1800,v,0.004
1800,m,4.722
1800,v,0.003
1800,m,4.319
1800,v,0.003
1800,m,4.550
1800,v,0.004
1800,m,4.797
1850,v,0.006
1850,m,7.444
1850,v,0.004
1850,m,4.876
1850,v,0.004
1850,m,4.864
1850,v,0.003
1850,m,5.164
1850,v,0.003
1850,m,4.912
1850,v,0.004
1850,m,4.969
1850,v,0.004
1850,m,5.270
1850,v,0.004
1850,m,4.821
1850,v,0.005
1850,m,4.881
1850,v,0.004
1850,m,5.272
1900,v,0.006
1900,m,7.500
1900,v,0.004
1900,m,5.154
1900,v,0.003
1900,m,5.132
1900,v,0.004
1900,m,5.415
1900,v,0.005
1900,m,5.132
1900,v,0.005
1900,m,5.123
1900,v,0.004
1900,m,5.421
1900,v,0.004
1900,m,5.142
1900,v,0.004
1900,m,4.944
1900,v,0.003
1900,m,5.191
1950,v,0.006
1950,m,7.707
1950,v,0.004
1950,m,5.297
1950,v,0.003
1950,m,5.450
1950,v,0.004
